"","x"
"1",1
"2",2
"3",1
"4",3
"5",1
"6",1
"7",2
"8",2
"9",3
"10",1
"11",1
"12",3
"13",1
"14",3
"15",3
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",3
"23",1
"24",2
"25",2
"26",3
"27",1
"28",2
"29",1
"30",3
"31",2
"32",1
"33",3
"34",1
"35",1
"36",2
"37",2
"38",2
"39",1
"40",2
"41",1
"42",3
"43",1
"44",1
"45",2
"46",1
"47",1
"48",1
"49",3
"50",1
"51",1
"52",2
"53",1
"54",2
"55",2
"56",2
"57",1
"58",1
"59",2
"60",3
"61",2
"62",2
"63",2
"64",1
"65",3
"66",1
"67",1
"68",2
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",3
"76",1
"77",1
"78",1
"79",3
"80",2
"81",1
"82",1
"83",2
"84",3
"85",1
"86",3
"87",1
"88",1
"89",1
"90",2
"91",1
"92",2
"93",2
"94",1
"95",1
"96",1
"97",1
"98",1
"99",3
"100",3
"101",1
"102",1
"103",1
"104",1
"105",1
"106",3
"107",2
"108",2
"109",1
"110",2
"111",3
"112",3
"113",3
"114",1
"115",1
"116",1
"117",3
"118",1
"119",2
"120",1
"121",3
"122",1
"123",2
"124",1
"125",3
"126",1
"127",1
"128",3
"129",2
"130",3
"131",2
"132",1
"133",3
"134",1
"135",2
"136",1
"137",2
"138",1
"139",3
"140",1
"141",1
"142",3
"143",3
"144",2
"145",1
"146",1
"147",3
"148",2
"149",1
"150",3
"151",1
"152",1
"153",3
"154",1
"155",2
"156",2
"157",2
"158",1
"159",1
"160",2
"161",2
"162",1
"163",2
"164",1
"165",2
"166",3
"167",1
"168",3
"169",1
"170",2
"171",1
"172",3
"173",1
"174",1
"175",3
"176",1
"177",3
"178",1
"179",3
"180",3
"181",1
"182",1
"183",1
"184",1
"185",1
"186",3
"187",2
"188",1
"189",1
"190",2
"191",1
"192",1
"193",2
"194",1
"195",1
"196",2
"197",2
"198",1
"199",3
"200",1
"201",1
"202",1
"203",3
"204",1
"205",1
"206",2
"207",1
"208",2
"209",3
"210",2
"211",1
"212",2
"213",1
"214",2
"215",1
"216",3
"217",1
"218",1
"219",2
"220",2
"221",2
"222",3
"223",2
"224",2
"225",1
"226",1
"227",2
"228",2
"229",1
